task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
bbb_martins,AUROC,common_pool_automl,505,9,6,,5.0,0.8799249530956849,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_automl_seed_505.csv
bioavailability_ma,AUROC,global_single,101,9,0,,,0.6484868639840372,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/global_single_seed_101.csv
bioavailability_ma,AUROC,per_task_single,101,9,0,,,0.6458264050548721,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/per_task_single_seed_101.csv
bioavailability_ma,AUROC,validation_top2_average,101,9,0,,,0.6471566345194546,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top2_average_seed_101.csv
bioavailability_ma,AUROC,validation_top3_average,101,9,0,,,0.6664449617559028,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top3_average_seed_101.csv
bioavailability_ma,AUROC,uniform_candidate_average,101,9,0,,,0.695710009976721,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/uniform_candidate_average_seed_101.csv
bioavailability_ma,AUROC,validation_stacking,101,9,0,,,0.6740937811772529,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_stacking_seed_101.csv
bioavailability_ma,AUROC,common_pool_taskwise_selector,101,9,6,per_task_single,,0.6458264050548721,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_taskwise_selector_seed_101.csv
bioavailability_ma,AUROC,common_pool_automl,101,9,6,,0.0,0.680079813767875,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_automl_seed_101.csv
bioavailability_ma,AUROC,global_single,202,9,0,,,0.6494845360824743,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/global_single_seed_202.csv
bioavailability_ma,AUROC,per_task_single,202,9,0,,,0.6571333555038243,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/per_task_single_seed_202.csv
bioavailability_ma,AUROC,validation_top2_average,202,9,0,,,0.6528101097439308,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top2_average_seed_202.csv
bioavailability_ma,AUROC,validation_top3_average,202,9,0,,,0.6631193880944464,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top3_average_seed_202.csv
bioavailability_ma,AUROC,uniform_candidate_average,202,9,0,,,0.6431659461257067,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/uniform_candidate_average_seed_202.csv
bioavailability_ma,AUROC,validation_stacking,202,9,0,,,0.559694047223146,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_stacking_seed_202.csv
bioavailability_ma,AUROC,common_pool_taskwise_selector,202,9,6,per_task_single,,0.6571333555038243,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_taskwise_selector_seed_202.csv
bioavailability_ma,AUROC,common_pool_automl,202,9,6,,0.0,0.6215497173262388,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_automl_seed_202.csv
bioavailability_ma,AUROC,global_single,303,9,0,,,0.6448287329564351,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/global_single_seed_303.csv
bioavailability_ma,AUROC,per_task_single,303,9,0,,,0.6418357166611239,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/per_task_single_seed_303.csv
bioavailability_ma,AUROC,validation_top2_average,303,9,0,,,0.643831060857998,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top2_average_seed_303.csv
bioavailability_ma,AUROC,validation_top3_average,303,9,0,,,0.6717658796142334,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top3_average_seed_303.csv
bioavailability_ma,AUROC,uniform_candidate_average,303,9,0,,,0.7080146325241103,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/uniform_candidate_average_seed_303.csv
bioavailability_ma,AUROC,validation_stacking,303,9,0,,,0.615563684735617,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_stacking_seed_303.csv
bioavailability_ma,AUROC,common_pool_taskwise_selector,303,9,6,per_task_single,,0.6418357166611239,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_taskwise_selector_seed_303.csv
bioavailability_ma,AUROC,common_pool_automl,303,9,6,,0.0,0.6634519454605919,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/common_pool_automl_seed_303.csv
bioavailability_ma,AUROC,global_single,404,9,0,,,0.644828732956435,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/global_single_seed_404.csv
bioavailability_ma,AUROC,per_task_single,404,9,0,,,0.6321915530428999,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/per_task_single_seed_404.csv
bioavailability_ma,AUROC,validation_top2_average,404,9,0,,,0.6405054871965414,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bioavailability_ma/validation_top2_average_seed_404.csv
