task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,reference_seed_count,comparator_seed_count,paired_seed_ids,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,resampling_mode,seed_resampling,reference_seed_uncertainty_available,comparator_seed_uncertainty_available,p_value_bh_fdr,significant_fdr_0_05
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.7116298351477092,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.716394164312052,-0.0047643291643428,-0.0155405969245262,0.0062198381603067,0.3911608839116088,10000,hierarchical_seed_and_sample,paired,True,True,0.7387505151923831,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.7111798285648362,0.0004500065828729,-0.0092742360275465,0.0086845824490893,0.9445055494450556,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.679249547920434,-0.0075723327305605,-0.0476937033394366,0.0363458017480022,0.6991300869913009,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.6713381555153708,0.0003390596745026,-0.0816867524348342,0.0813158870366594,0.986101389861014,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.6716772151898734,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.671112115732369,0.0005650994575044,-0.0730995771440121,0.0749891422161367,0.9805019498050196,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.6722423146473779,-0.0005650994575044,-0.032642408123791,0.0444229497354496,0.9985001499850016,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.6878390596745027,-0.0161618444846292,-0.0674091318038686,0.0337391812865496,0.5293470652934706,10000,hierarchical_seed_and_sample,paired,True,True,0.8835073481899123,False
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.6716772151898734,0.6837703435804702,-0.0120931283905967,-0.0745056953013763,0.0476959164003004,0.6939306069393061,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
