task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
cyp3a4_veith,AUPRC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,2467,0.8272696229239758,0.035249635807819826
cyp3a4_veith,AUPRC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.7644204594409693,0.0015779155103710374
cyp3a4_veith,AUPRC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.8293585433534061,0.002135710792186101
cyp3a4_veith,AUPRC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.7644204594409693,0.0015779155103710374
cyp3a4_veith,AUPRC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,2467,0.8841211146054248,0.0032063240710751336
cyp3a4_veith,AUPRC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.8256226338344718,0.0013336120821600711
cyp3a4_veith,AUPRC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.8209978065609516,0.0025083606685513205
cyp3a4_veith,AUPRC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2467,0.8256226338344718,0.0013336120821600711
dili,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,96,0.8235217391304348,0.05309477206294317
dili,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.7758260869565217,0.016893976063116982
dili,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.8641304347826086,0.017011477277657013
dili,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.7758260869565217,0.016893976063116982
dili,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,96,0.908608695652174,0.005520198347166533
dili,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.8591739130434781,0.011980608150031992
dili,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.865,0.01059991618185647
dili,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,96,0.8591739130434781,0.011980608150031992
half_life_obach,Spearman,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,135,0.1535103198544613,0.13484403412894513
half_life_obach,Spearman,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.27932847973583586,0.0
half_life_obach,Spearman,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.2475382582154344,0.02010899761179242
half_life_obach,Spearman,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.27932847973583586,0.0
half_life_obach,Spearman,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,135,0.4913899884769625,0.00978524251766105
half_life_obach,Spearman,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.259284283840958,0.0
half_life_obach,Spearman,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.10889183812689496,0.0
half_life_obach,Spearman,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.259284283840958,0.0
herg,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,132,0.8166126656848306,0.04747461001103362
herg,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.7257731958762886,0.004982394646255471
herg,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.7896318114874816,0.012473974677210646
herg,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.7257731958762886,0.004982394646255471
herg,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,132,0.8633578792341678,0.0023342106340098847
herg,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.7889248895434463,0.013020095394500551
herg,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.757260677466863,0.00991263040251978
herg,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,132,0.7889248895434463,0.013020095394500551
hia_hou,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,117,0.9348971193415638,0.02662387653099577
hia_hou,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.7630452674897119,0.01192226596533173
hia_hou,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.9658847736625514,0.012182911939476364
