task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
half_life_obach,Spearman,uniform_candidate_average,9,0.2558622825218398,0.005967564411920536,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
half_life_obach,Spearman,validation_stacking,9,0.06357995522878311,0.05314563751154604,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
half_life_obach,Spearman,validation_top2_average,9,0.4050159356735118,0.027657528423523817,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
half_life_obach,Spearman,validation_top3_average,9,0.41718074185608955,0.013125590274583796,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;deep_ept_ridge_linear
herg,AUROC,global_single,9,0.8164948453608247,0.009213839363544623,5,chem_fp_chemberta_kpgt_ept_xgb
herg,AUROC,per_task_single,9,0.8164948453608247,0.009213839363544623,5,chem_fp_chemberta_kpgt_ept_xgb
herg,AUROC,uniform_candidate_average,9,0.8051840942562591,0.020568105749686427,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
herg,AUROC,validation_stacking,9,0.7630633284241531,0.033475022460264764,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
herg,AUROC,validation_top2_average,9,0.8217967599410899,0.009615854693906016,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
herg,AUROC,validation_top3_average,9,0.8059499263622975,0.007559691154765175,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
hia_hou,AUROC,global_single,9,0.9700411522633745,0.005360862245097013,5,chem_fp_chemberta_kpgt_ept_xgb
hia_hou,AUROC,per_task_single,9,0.9508641975308642,0.004252843023132135,5,chem_fp_chemberta_kpgt_xgb
hia_hou,AUROC,uniform_candidate_average,9,0.9805761316872428,0.004650387847412905,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
hia_hou,AUROC,validation_stacking,9,0.9737448559670782,0.011338923522169203,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
hia_hou,AUROC,validation_top2_average,9,0.9692181069958847,0.00511017665062562,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
hia_hou,AUROC,validation_top3_average,9,0.9772016460905351,0.003974976342730312,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
ld50_zhu,MAE,global_single,9,0.6192784958322057,0.0028953507958437595,5,chem_fp_chemberta_kpgt_ept_xgb
ld50_zhu,MAE,per_task_single,9,0.6192784958322057,0.0028953507958437595,5,chem_fp_chemberta_kpgt_ept_xgb
ld50_zhu,MAE,uniform_candidate_average,9,0.6176214594320779,0.0008713465287948319,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
ld50_zhu,MAE,validation_stacking,9,0.6263574213454951,0.004082903443575515,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
ld50_zhu,MAE,validation_top2_average,9,0.6213512131326117,0.0033759514112809263,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
ld50_zhu,MAE,validation_top3_average,9,0.6289902273883626,0.0018552928450382177,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
lipophilicity_astrazeneca,MAE,global_single,9,0.6003640696505238,0.0040253666418568,5,chem_fp_chemberta_kpgt_ept_xgb
lipophilicity_astrazeneca,MAE,per_task_single,9,0.5572363429341667,0.0,5,deep_kpgt_ept_ridge_linear
lipophilicity_astrazeneca,MAE,uniform_candidate_average,9,0.53182602305,0.0005849367301111512,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
