task,metric,descriptor,group,threshold_task_median,n_samples,positive_n,prevalence,metric_valid,validity_reason,reference_model,comparator_model,reference_seeds,comparator_seeds,bootstrap_replicates_requested,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
cyp2c9_veith,AUPRC,molecular_weight,low_or_equal_median,342.786,1210,239.0,0.1975206611570248,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6820264017651616,0.5335536733296731,0.14847272843548853,0.08877006334667933,0.20652129457821009,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2c9_veith,AUPRC,molecular_weight,above_median,342.786,1209,531.0,0.4392059553349876,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.8295457397343743,0.733067416556032,0.09647832317834226,0.06254464027152597,0.1308069296388954,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2c9_veith,AUPRC,clogp,low_or_equal_median,2.994200000000002,1210,183.0,0.15123966942148762,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.5747652517095108,0.4207753279944487,0.15398992371506204,0.0832057397187036,0.2175229085299897,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2c9_veith,AUPRC,clogp,above_median,2.994200000000002,1209,587.0,0.4855252274607113,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.8350810743270145,0.7472718322293556,0.08780924209765895,0.05591530562913381,0.12014314019523346,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2c9_veith,AUPRC,tpsa,low_or_equal_median,68.19,1211,396.0,0.3270024772914946,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.7770490903239122,0.6634065473840698,0.11364254293984244,0.07393969682139828,0.15266644450042413,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2c9_veith,AUPRC,tpsa,above_median,68.19,1208,374.0,0.30960264900662254,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.8097214080138849,0.7041210794805642,0.10560032853332069,0.06358204659194179,0.14728772109203075,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_substrate_carbonmangels,AUPRC,molecular_weight,low_or_equal_median,317.42900000000014,68,26.0,0.38235294117647056,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7919429878776012,0.562755705305543,0.22918728257205823,0.11744142677117285,0.34557799308135756,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_substrate_carbonmangels,AUPRC,molecular_weight,above_median,317.42900000000014,67,17.0,0.2537313432835821,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7082127801803668,0.43685952234540565,0.27135325783496117,0.11675490910904189,0.41485019949764745,0.0013998600139986002,10000.0,0.002582840307518544,True
cyp2d6_substrate_carbonmangels,AUPRC,clogp,low_or_equal_median,3.1938000000000004,68,17.0,0.25,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7022224273728712,0.5092838874680307,0.19293853990484056,0.047631040587583745,0.35352701951902715,0.0117988201179882,10000.0,0.017972621342516912,True
cyp2d6_substrate_carbonmangels,AUPRC,clogp,above_median,3.1938000000000004,67,26.0,0.3880597014925373,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7970950599903476,0.5446029620629198,0.25249209792742777,0.14081939503329222,0.3629905980241656,0.00019998000199980003,10000.0,0.0004030366194149816,True
