task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
dili,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.9065217391304348,0.00521739130434784,-0.024692832215628673,0.03483245149911818,0.7329267073292671,10000,0.7995564079955642,False
half_life_obach,Spearman,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.4260494399927364,0.0663620280993395,-0.06309654654547595,0.1963972619251898,0.3197680231976802,10000,0.4097997967193572,False
half_life_obach,Spearman,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.4343398153790071,0.0580716527130688,-0.07898407895668232,0.19648095289333226,0.4213578642135786,10000,0.5102682392311227,False
half_life_obach,Spearman,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.2600745393130851,0.23233692877899081,0.05707493912962342,0.4044763478231232,0.0081991800819918,10000,0.017742488046277337,True
half_life_obach,Spearman,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.06801075180491296,0.42440071628716297,0.22467952088276585,0.6168472163454362,0.00019998000199980003,10000,0.0006285085777136572,True
half_life_obach,Spearman,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.4388252523708731,0.05358621572120281,-0.08349699749733622,0.18724294598454672,0.45495450454954506,10000,0.545945405459454,False
half_life_obach,Spearman,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.4263916084145487,0.06601985967752722,-0.059196831242138336,0.18721283500817099,0.29617038296170384,10000,0.3832793191269108,False
herg,AUROC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8167893961708395,0.045508100147275354,0.004462053571428553,0.09333736785499987,0.028997100289971003,10000,0.0558552840368137,False
herg,AUROC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8167893961708395,0.045508100147275354,0.0039010233723119243,0.09519442770508106,0.031596840315968405,10000,0.05874342143250463,False
herg,AUROC,trimole_hybrid,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8,0.062297496318114765,-0.008628340556260142,0.13570622013378386,0.08239176082391761,10000,0.12219901605345083,False
herg,AUROC,trimole_hybrid,validation_stacking,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7855670103092784,0.07673048600883636,-0.004576273444160255,0.1611666041416566,0.06179382061793821,10000,0.09710457525676003,False
herg,AUROC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8197349042709867,0.04256259204712809,-0.0067350232814151105,0.0963181148748159,0.0963903609639036,10000,0.13829921355690517,False
herg,AUROC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8076583210603829,0.054639175257731876,0.003982836686185959,0.11224816384590806,0.030796920307969204,10000,0.05807419258074193,False
hia_hou,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.9720164609053499,0.022222222222222143,0.0046248797770392595,0.04784688995215303,0.004399560043995601,10000,0.01001279182426585,True
